,Dataset_ID,SubjectNumber,Subject,Run,Trial,RT,Total_Fixation_Duration,SupportDifference,supportDiffReAdj,Issue_left,Issue_right,LeftChoice,LeftChoice_num,ProtestView,Support_left,Support_right,supportChosenReAdj,supportUnchosenReAdj,LeftSupportReAdj,RightSupportReAdj,Moral_left,Moral_right,maxMoral,consistent,Age,age_z,Gender,gender,Edu,edu,Income,income,Relig,PartyRegistration,PartyRegistration_4_TEXT,PartyAlignment,partyAlignment,PoliticalSocial,PoliticalEcon,PoliticalEngagement,politicalEngagement,JS1,JS2,JS3,JS4,JS5,JS6,JS7,JS8,JS_sum,DUREL1_ORA,DUREL2_NORA,DUREL3_IR1,DUREL4_IR2,DUREL5_IR3,DUREL_sum,Familiar1,Familiar2,maxMoral_Familiar,DirmaxMoral
11,PMM002-1-3,2,PMM002,1,3,3108,NA,3,3,Abortion rights,Defund the police,1,1,1,6,3,3,0,3,0,5,4,5,1,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,3,3,3,5
12,PMM002-1-5,2,PMM002,1,5,3120,NA,6,6,War on Drugs,Mandatory training on sexual consent,0,0,1,0,6,3,-3,-3,3,4,3.5,4,1,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,4,3,4,0.5
13,PMM002-1-7,2,PMM002,1,7,2164,NA,6,6,Affirmative action,Bathrooms restricted based on biological sex,1,1,1,6,0,3,-3,3,-3,5,3.5,5,1,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,4,3,4,1.5
14,PMM002-1-8,2,PMM002,1,8,2978,NA,3,3,Remove police from schools,Defund the police,1,1,1,6,3,3,0,3,0,4.5,4,4.5,1,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,4,3,4,4.5
15,PMM002-2-10,2,PMM002,2,10,2558,NA,1,-1,Raise the minimum wage,Mandatory vaccinations,1,1,1,4,5,3,-3,1,2,2,2.5,2.5,0,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,3,4,4,4.5
16,PMM002-2-11,2,PMM002,2,11,2892,NA,5,5,Remove public Confederate memorials,Mask mandates,1,1,1,6,1,2,-2,3,-2,4.5,2.5,4.5,1,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,4,2,4,2
17,PMM002-2-16,2,PMM002,2,16,2608,NA,4,4,Raise the minimum wage,War on Drugs,1,1,1,4,0,1,3,1,-3,2,4,4,1,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,3,4,4,2
18,PMM002-2-2,2,PMM002,2,2,2083,NA,2,-2,Gun-free campus police,Physician-assisted suicide,1,1,1,3,5,0,3,0,2,2,3.5,3.5,0,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,2,3,3,3.5
19,PMM002-2-21,2,PMM002,2,21,2253,NA,6,6,Abolishing private prisons,Build southern border wall,1,1,1,6,0,0,-3,3,-3,5,4,5,1,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,4,3,4,1
20,PMM002-2-24,2,PMM002,2,24,2369,NA,3,3,Increased Gun regulations,Defund the police,1,1,1,6,3,3,1,3,0,3.5,4,4,1,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,3,3,3,3.5
21,PMM002-2-3,2,PMM002,2,3,2265,NA,5,5,Abolishing private prisons,Mask mandates,1,1,1,6,1,2,-3,3,-2,5,2.5,5,1,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,4,2,4,2.5
22,PMM002-2-4,2,PMM002,2,4,2244,NA,2,2,Mask mandates,Gun-free campus police,0,0,1,1,3,1,3,-2,0,2.5,2,2.5,1,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,2,2,2,2.5
23,PMM002-2-5,2,PMM002,2,5,2482,NA,3,-3,Mandatory drug tests for welfare recipients,Gun-free campus police,0,0,1,6,3,1,2,3,0,3,2,3,0,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,2,2,2,3
24,PMM002-2-6,2,PMM002,2,6,3937,NA,5,5,Dorms determined by gender identity,Black Lives Matter,1,1,-1,1,6,3,-2,-2,3,4,4.5,4.5,1,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,1,3,3,0.5
25,PMM002-2-7,2,PMM002,2,7,2758,NA,2,-2,Raise the minimum wage,Student worker unionization,1,1,1,4,6,1,-3,1,3,2,3.5,3.5,0,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,3,3,3,5.5
26,PMM002-3-11,2,PMM002,3,11,2756,NA,5,5,Legalization of marijuana,Dorms determined by gender identity,0,0,-1,6,1,3,0,3,-2,4,4,4,1,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,3,1,1,0
27,PMM002-3-12,2,PMM002,3,12,2806,NA,1,-1,Mandatory vaccinations,Abortion rights,1,1,1,5,6,3,-3,2,3,2.5,5,5,0,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,4,3,3,7.5
28,PMM002-3-13,2,PMM002,3,13,3361,NA,6,6,War on Drugs,Mandatory drug tests for welfare recipients,1,1,-1,0,6,3,-3,-3,3,4,3,4,1,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,4,2,4,1
29,PMM002-3-14,2,PMM002,3,14,3766,NA,3,3,Defund the police,Build southern border wall,0,0,-1,3,0,3,-3,0,-3,4,4,4,1,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,3,3,3,4
30,PMM002-3-15,2,PMM002,3,15,2652,NA,5,5,Dorms determined by gender identity,Increased Gun regulations,0,0,1,1,6,3,-3,-2,3,4,3.5,4,1,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,1,3,1,0.5
31,PMM002-3-16,2,PMM002,3,16,2290,NA,1,1,Mask mandates,On campus concealed carry,1,1,1,1,0,3,-3,-2,-3,2.5,4,4,1,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,2,1,1,6.5
32,PMM002-3-18,2,PMM002,3,18,3457,NA,1,1,Dorms determined by gender identity,Bathrooms restricted based on biological sex,0,0,-1,1,0,3,-3,-2,-3,4,3.5,4,1,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,1,3,1,7.5
33,PMM002-3-19,2,PMM002,3,19,2143,NA,4,4,Dorms determined by gender identity,Physician-assisted suicide,0,0,1,1,5,3,0,-2,2,4,3.5,4,1,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,1,3,1,0.5
34,PMM002-3-2,2,PMM002,3,2,2578,NA,6,6,Mandatory training on sexual consent,Defund Planned Parenthood,1,1,1,6,0,0,-3,3,-3,3.5,3.5,3.5,1,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,3,3,3,0
35,PMM002-3-20,2,PMM002,3,20,3296,NA,3,3,Gun-free campus police,Climate change legislation,0,0,1,3,6,0,-3,0,3,2,4,4,1,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,2,3,3,4
36,PMM002-3-22,2,PMM002,3,22,2430,NA,4,4,Raise the minimum wage,Detention of migrant children,1,1,1,4,0,0,-3,1,-3,2,4.5,4.5,1,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,3,3,3,2.5
37,PMM002-3-23,2,PMM002,3,23,3587,NA,5,-5,Physician-assisted suicide,Defund Planned Parenthood,1,1,-1,5,0,3,-3,2,-3,3.5,3.5,3.5,0,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,3,3,3,0
38,PMM002-3-4,2,PMM002,3,4,3677,NA,1,1,Mask mandates,Detention of migrant children,1,1,1,1,0,0,-3,-2,-3,2.5,4.5,4.5,1,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,2,3,3,7
39,PMM002-3-7,2,PMM002,3,7,2862,NA,5,5,Detention of migrant children,Physician-assisted suicide,0,0,1,0,5,3,0,-3,2,4.5,3.5,4.5,1,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,3,3,3,1
40,PMM002-3-8,2,PMM002,3,8,3160,NA,3,-3,Allow alt-right speakers on campus,Mandatory drug tests for welfare recipients,1,1,1,3,6,0,-3,0,3,1,3,3,0,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,3,2,2,3
41,PMM002-4-1,2,PMM002,4,1,3163,NA,2,2,Raise the minimum wage,Stop police brutality,1,1,-1,4,6,-2,-3,1,3,2,4.5,4.5,1,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,3,3,3,6.5
42,PMM002-4-10,2,PMM002,4,10,2156,NA,1,-1,Physician-assisted suicide,Lift COVID lockdowns,1,1,1,5,6,3,-2,2,3,3.5,4,4,0,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,3,3,3,7.5
43,PMM002-4-11,2,PMM002,4,11,2329,NA,6,6,Affirmative action,Detention of migrant children,0,0,-1,6,0,-2,-3,3,-3,5,4.5,5,1,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,4,3,4,0.5
44,PMM002-4-12,2,PMM002,4,12,2010,NA,1,1,Black Lives Matter,Mandatory vaccinations,1,1,1,6,5,3,2,3,2,4.5,2.5,4.5,1,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,3,4,3,7
45,PMM002-4-13,2,PMM002,4,13,2085,NA,3,3,Defund the police,Detention of migrant children,0,0,-1,3,0,2,-2,0,-3,4,4.5,4.5,1,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,3,3,3,4.5
46,PMM002-4-14,2,PMM002,4,14,3073,NA,1,1,Raise the minimum wage,Allow alt-right speakers on campus,1,1,1,4,3,3,0,1,0,2,1,2,1,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,3,3,3,2
47,PMM002-4-15,2,PMM002,4,15,1989,NA,5,5,Mandatory vaccinations,Detention of migrant children,1,1,1,5,0,1,-3,2,-3,2.5,4.5,4.5,1,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,4,3,3,2
48,PMM002-4-16,2,PMM002,4,16,3893,NA,3,-3,Mandatory drug tests for welfare recipients,Defund the police,1,1,-1,6,3,-2,3,3,0,3,4,4,0,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,2,3,3,3
49,PMM002-4-18,2,PMM002,4,18,3782,NA,1,1,Mandatory vaccinations,Legalization of marijuana,1,1,-1,5,6,0,-2,2,3,2.5,4,4,1,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,4,3,3,6.5
50,PMM002-4-19,2,PMM002,4,19,3669,NA,2,2,Defund the police,Dorms determined by gender identity,0,0,-1,3,1,2,0,0,-2,4,4,4,1,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,3,1,1,4
51,PMM002-4-2,2,PMM002,4,2,2448,NA,2,2,Abolishing private prisons,Raise the minimum wage,1,1,1,6,4,2,-3,3,1,5,2,5,1,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,4,3,4,7
52,PMM002-4-20,2,PMM002,4,20,2813,NA,1,1,Dorms determined by gender identity,Detention of migrant children,0,0,-1,1,0,3,2,-2,-3,4,4.5,4.5,1,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,1,3,3,8.5
53,PMM002-4-21,2,PMM002,4,21,2845,NA,4,4,Bathrooms restricted based on biological sex,Raise the minimum wage,0,0,1,0,4,1,-3,-3,1,3.5,2,3.5,1,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,3,3,3,1.5
54,PMM002-4-22,2,PMM002,4,22,3629,NA,1,-1,Raise the minimum wage,Defund the police,0,0,1,4,3,0,1,1,0,2,4,4,0,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,3,3,3,2
55,PMM002-4-23,2,PMM002,4,23,2479,NA,1,-1,Student worker unionization,Physician-assisted suicide,0,0,1,6,5,2,3,3,2,3.5,3.5,3.5,0,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,3,3,3,7
56,PMM002-4-5,2,PMM002,4,5,1842,NA,1,-1,Mandatory vaccinations,Mandatory drug tests for welfare recipients,1,1,1,5,6,0,3,2,3,2.5,3,3,0,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,4,2,2,5.5
57,PMM002-4-6,2,PMM002,4,6,2911,NA,6,6,Mandatory training on sexual consent,Detention of migrant children,0,0,-1,6,0,2,-3,3,-3,3.5,4.5,4.5,1,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,3,3,3,1
58,PMM002-4-7,2,PMM002,4,7,3355,NA,1,-1,Physician-assisted suicide,Raise the minimum wage,1,1,-1,5,4,2,3,2,1,3.5,2,3.5,0,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,3,3,3,5.5
59,PMM002-4-8,2,PMM002,4,8,2845,NA,2,2,Mandatory vaccinations,Defund the police,1,1,1,5,3,3,-3,2,0,2.5,4,4,1,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,4,3,3,2.5
60,PMM002-4-9,2,PMM002,4,9,2390,NA,5,5,Physician-assisted suicide,War on Drugs,1,1,1,5,0,3,0,2,-3,3.5,4,4,1,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,3,4,4,0.5
61,PMM002-5-1,2,PMM002,5,1,3987,NA,4,4,Physician-assisted suicide,Mask mandates,0,0,-1,5,1,2,-3,2,-2,3.5,2.5,3.5,1,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,3,2,3,1
62,PMM002-5-10,2,PMM002,5,10,2995,NA,3,3,Climate change legislation,Allow alt-right speakers on campus,0,0,-1,6,3,-1,-3,3,0,4,1,4,1,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,3,3,3,4
63,PMM002-5-12,2,PMM002,5,12,2565,NA,3,3,Abolishing private prisons,Recognize Jerusalem as capital of Israel,1,1,1,6,3,3,1,3,0,5,1,5,1,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,4,2,4,5
64,PMM002-5-14,2,PMM002,5,14,2730,NA,6,6,Lift COVID lockdowns,Bathrooms restricted based on biological sex,0,0,-1,6,0,2,3,3,-3,4,3.5,4,1,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,3,3,3,0.5
65,PMM002-5-15,2,PMM002,5,15,3397,NA,6,6,Hardening schools/Arming teachers,Black Lives Matter,1,1,-1,0,6,3,-3,-3,3,3.5,4.5,4.5,1,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,2,3,3,1
66,PMM002-5-16,2,PMM002,5,16,3150,NA,6,6,Defund Planned Parenthood,Abortion rights,0,0,1,0,6,-2,-1,-3,3,3.5,5,5,1,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,3,3,3,1.5
67,PMM002-5-18,2,PMM002,5,18,2374,NA,6,6,War on Drugs,Legalization of marijuana,0,0,1,0,6,2,0,-3,3,4,4,4,1,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,4,3,3,0
